bid,nombre,patente,pais
0,Abbotsham,ZX2922,India
1,Abdiel,PM8536,Canada
2,Abeille,VC7492,Singapur
3,Abelardo,LS5992,Costa Rica
4,Abelia,PJ5481,Argentina
5,Abercrombie,LX6914,Qatar
6,Aberdeen,EH9187,Qatar
7,Aberford,ST8633,Mexico
8,Aberfoyle,EY2745,Japon
9,abergavenny,LA5643,Siria
10,Abigail,AU5998,Irlanda
11,Abingdon,ET5609,Nicaragua
12,abondance,MO4425,Filipinas
13,aboukir,BY5212,Colombia
14,Abrahan,EG8528,Brasil
15,Abrams Oferta,QD4440,Estados Unidos
16,Abundancia,VX5561,Estados Unidos
17,Abisinia,VT6220,Mexico
18,Acacia,XK7318,Argentina
19,Acanto,WW2485,Portugal
20,acasta,HV2199,Mexico
21,As,ID7819,Panama
22,Acertif,QA2495,Nueva Zelanda
23,achates,WF7217,Islas Malvinas
24,acheron,BN4195,Costa Rica
25,Achille,UW2735,Austria
26,Aquiles,EF7582,Belgica
27,Aconito,OT5458,Mexico
28,Bellota,YN4644,Islas Malvinas
29,Acteon,FS3778,Indonesia
30,acteon,VW7522,Australia
31,Calypso,VI4743,Canada
32,Activo,OJ8771,España
33,Actividad,OC4762,Finlandia
34,Agudo,XN4914,Peru
35,Adan y Eva,XP9141,Jamaica
36,Firme,EX4705,Japon
37,inflexible II,BJ4245,Tailandia
38,Agrega un,RH8308,Dinamarca
39,Sumador,YP3858,Nicaragua
40,Adelaide,AL8743,Filipinas
41,Adepto,KM2551,Republica Dominicana
42,Admirable,EI5702,Italia
43,Almirante Devries,RJ2733,Estados Unidos
44,Almirante Farragut,YG2900,Sudafrica
45,Almirantazgo,TO8113,Austria
46,Adonis,HE7029,India
47,Habil,HB3228,Singapur
48,Adur,OF5956,Egipto
49,Avanzar,SG9128,Japon
50,Ventaja,GO7311,Australia
51,Advantagia,PM7495,Peru
52,Aventuras,GS7205,España
53,aventura Galera,PU5101,Peru
54,Premio aventura,VP2429,Australia
55,Adversario,MO4968,España
56,Consejo,BI5654,Peru
57,Premio consejos,YB8271,Siria
58,Asesor,VT2032,Austria
59,Eneas,MU6547,Sudafrica
60,Eolo,IW2489,Australia
61,Aetna,IG9597,Indonesia
62,Affleck,AU6167,Argentina
63,Refriega,JD8184,Mexico
64,Africa,RK2324,Republica Dominicana
65,Africaine,LN6036,Republica Dominicana
66,Afridi,PZ3477,Nicaragua
67,Afrikander,GM1638,Islas Malvinas
68,Agamenon,CI3218,Siria
69,Aladdin,UH6836,Portugal
70,Alamein,QJ6353,Peru
71,Alarico,LW4637,Brasil
72,Alarma,SL2391,Sudafrica
73,Alaunia II,PP3724,Portugal
74,albacora,QL4591,Siria
75,Alban,BF7024,Finlandia
76,Albanaise,QI7769,Japon
77,Albany,FM3163,Finlandia
78,Albatros,NX3376,Egipto
79,Albemarle,XG7925,Filipinas
80,alberni,KY2131,Paraguay
81,Albert,MW6341,Tailandia
82,Alberta,FU8868,Panama
83,Albian,UH1378,Sudafrica
84,Albrighton,GT9752,España
85,Albuera,OB9598,Vietnam
86,albury,VR7517,Islas Malvinas
87,Alcantara,GF5994,España
88,Alcaston,HF1544,Jamaica
89,blackwall,AI2283,Reino Unido
90,Agua Negra,KC2936,Noruega
91,Madera negra,MN1612,Italia
92,Espada,OR9516,Singapur
93,BLAIRMORE,OE1789,Argentina
94,Blake,WD8846,Noruega
95,Blakeney,MZ9845,Italia
96,Blanche,RV9799,Dinamarca
97,Blandford,IV2746,Argentina
98,Blankney,TJ7818,Portugal
99,Blaxton,OF1501,Noruega
100,Resplandor,BY4314,Suiza
101,Chaqueta de sport,AM9504,Paraguay
102,Blean,ZV9679,Australia
103,Bleasdale,SV9482,Panama
104,blencathra,UL8619,India
105,Blenheim,LF8633,Suiza
106,Bendicion,PR9667,Noruega
107,Blickling,MZ2239,Egipto
108,Bligh,WI9449,Suiza
109,Rubia,XG4556,Nicaragua
110,Sabueso,HW2014,Colombia
111,Floracion,BZ3311,Noruega
112,Flor,BB5259,Brasil
113,Campanilla,WC8293,Australia
114,pechiazul,RY9242,Canada
115,Blyth,OM4230,Paraguay
116,Boadicea,AL1557,Dinamarca
117,bodenham,II3534,Noruega
118,Castillo bodiam,CG7403,Japon
119,Bogam,WX5990,Argentina
120,Negrita,HE5247,Polonia
121,Bolebroke,HH5023,Republica Dominicana
122,Bolton Castle,FI2331,Austria
123,Bolton,YB3879,Austria
124,Bombardear,OY7209,Reino Unido
125,Castillo de Bombay,NK1201,Ecuador
126,Bombay,MN4984,Japon
127,Bumerang,PA1651,Islas Malvinas
128,Buenaventura,PJ8392,Republica Dominicana
129,Bonavoila,UE6214,Ecuador
130,Bonetta,IJ4552,Mexico
131,Bonita,EF2295,Canada
132,Bonito,RA3983,Finlandia
133,Bonne Ciudadana,YC1851,Austria
134,Bootle,XL6992,Costa Rica
135,Borraja,RC8468,Estados Unidos
136,Frontera,XH5466,Australia
137,Boreas,VH2584,Ecuador
138,Boreham,CV4539,Islas Malvinas
139,Taladrador,VB9537,Canada
140,Boscawen,OF5460,Chile
141,Bossington,EB3227,Peru
142,Boston,IH6707,Nicaragua
143,Botha,DA9671,Suiza
144,Bottisham,NL7862,Nueva Zelanda
145,Bouclier,UJ2611,Islas Malvinas
146,Boulogne,PV7666,Austria
147,Boulston,HH5472,Republica Dominicana
148,Bravucon,KQ3854,Nicaragua
149,Abundante,ON7101,Argentina
150,Generosidad,QC1164,España
151,bourbonnaise,TW7915,Tailandia
152,Bourdelais,EI5834,Polonia
153,Bowen,AI9121,Jamaica
154,Castillo de Bowes,YE6286,Argentina
155,bowmanville,PJ3020,Japon
156,Boxer,IX1197,Italia
157,Boyne,YB1434,Belgica
158,Braak,LD3618,Republica Dominicana
159,Braave,IF9396,Portugal
160,Bradfield,AY3986,Islas Malvinas
161,Bradford,FJ6533,Sudafrica
162,Trenza,SU8617,Belgica
163,Braithwaite,LW6201,Japon
164,Brakel,VG7905,Tailandia
165,Castillo bramber,SM2508,Colombia
166,Zarza,MY3367,Portugal
167,Bramham,GS9404,Filipinas
168,Brampton,HE8199,Jamaica
169,Brandon,FA3127,Chile
170,Branlebas,DQ3759,India
171,brantford,RP8314,Ecuador
172,Brantingham,MJ4934,Ecuador
173,Valiente,YX2002,Islas Malvinas
174,Bravo,EV7485,Qatar
175,Brayford,HI7513,Suiza
176,Descarado,RO9221,Cuba
177,Brema,TR8211,Australia
178,brearley,FO3430,India
