bid,pid,fecha_atraque
80,0,2020-10-16 09:14:59
127,0,2021-03-13 17:25:18
210,0,2020-11-13 02:05:05
189,0,2021-07-08 05:07:19
98,0,2021-06-03 11:35:38
249,0,2021-05-05 00:39:03
205,0,2021-08-25 20:21:18
152,0,2020-11-14 09:17:09
39,0,2021-04-07 19:57:46
67,0,2021-08-16 23:53:29
240,1,2020-10-30 00:12:52
75,1,2020-10-01 15:08:05
20,1,2021-09-01 04:05:01
140,1,2021-02-22 17:46:54
176,1,2021-06-15 13:47:35
238,1,2021-01-19 22:37:50
155,1,2021-07-30 18:34:41
84,1,2021-01-17 18:19:22
153,1,2021-02-22 12:24:38
158,1,2020-12-26 01:41:59
81,1,2021-07-17 08:15:30
57,1,2020-11-19 07:20:07
38,1,2020-09-17 01:03:48
224,2,2020-12-05 22:40:37
179,2,2021-02-25 23:34:30
193,2,2020-10-16 15:36:57
40,2,2021-05-13 09:06:10
142,2,2021-06-19 08:18:04
237,2,2021-04-13 16:19:39
164,2,2021-03-25 15:58:10
35,2,2020-11-24 06:26:55
87,2,2021-08-17 21:40:15
33,2,2021-09-04 00:12:14
236,2,2021-07-07 12:44:23
185,3,2021-06-17 01:52:24
82,3,2021-06-06 01:54:17
23,3,2021-05-08 22:19:54
147,3,2021-01-03 22:31:16
77,3,2021-01-08 17:15:02
243,3,2021-04-03 01:49:47
50,3,2021-02-02 03:02:08
249,4,2020-10-27 20:37:49
171,4,2021-01-02 07:56:35
143,4,2021-02-04 12:12:33
35,4,2020-09-21 07:31:18
9,4,2021-01-18 01:11:17
29,4,2021-04-28 06:52:45
45,4,2021-06-04 09:18:23
187,4,2021-02-07 23:12:54
22,4,2021-07-26 04:38:05
31,4,2021-08-30 23:05:53
99,4,2020-12-31 07:41:33
103,4,2021-04-11 16:01:26
194,4,2021-03-16 14:54:25
83,5,2021-06-08 21:31:23
133,5,2020-10-17 04:13:53
74,5,2020-09-24 10:14:01
16,5,2021-01-12 14:47:25
211,5,2021-05-13 18:57:35
179,5,2020-10-13 02:41:08
223,5,2021-02-21 04:52:26
134,5,2021-04-29 23:04:01
185,5,2020-11-24 19:10:49
76,5,2020-11-04 00:38:49
241,5,2020-12-28 03:03:16
188,5,2021-07-19 09:29:37
98,5,2021-07-04 22:26:56
44,5,2020-10-25 01:00:16
10,6,2021-08-15 00:12:46
170,6,2020-12-16 02:56:08
23,6,2021-04-05 12:45:43
149,6,2020-12-01 10:03:20
143,6,2020-12-27 07:33:12
6,6,2021-02-02 23:54:12
171,7,2020-09-11 13:15:38
201,7,2021-07-28 00:31:39
38,7,2021-01-09 04:49:05
226,7,2020-11-13 12:28:45
121,7,2020-12-26 16:37:46
119,7,2021-07-04 20:42:59
49,7,2020-12-10 10:47:40
183,7,2020-12-09 13:19:00
202,7,2020-12-29 02:49:07
72,8,2021-07-20 08:58:56
4,8,2021-02-13 04:02:15
99,8,2021-04-06 00:21:38
248,8,2021-08-24 16:17:28
211,9,2020-11-12 17:07:56
229,9,2021-07-05 10:15:10
97,9,2021-02-19 17:51:04
48,9,2021-06-19 13:03:17
145,9,2021-07-08 22:43:04
225,9,2021-04-02 16:19:54
157,9,2021-06-22 18:14:59
244,10,2020-12-09 17:02:32
6,10,2021-08-31 15:11:51
171,10,2021-08-07 07:28:27
174,10,2020-11-07 06:33:19
32,10,2020-11-09 11:37:46
7,10,2020-10-29 20:57:11
92,10,2021-08-05 21:51:28
174,10,2021-02-09 08:03:13
31,10,2020-11-06 08:17:24
121,10,2021-02-25 23:56:28
149,10,2021-07-08 01:12:54
178,11,2021-01-13 17:40:56
249,11,2021-01-28 11:27:56
177,11,2021-06-23 21:19:52
95,11,2020-12-17 00:12:33
176,11,2021-02-22 18:18:32
129,11,2021-08-26 05:11:04
130,12,2021-06-04 11:29:28
207,12,2021-05-25 21:38:22
180,12,2020-12-09 08:00:33
234,12,2021-04-01 23:36:05
219,12,2021-02-05 13:21:00
47,12,2020-12-07 04:22:22
156,13,2021-07-22 07:14:50
156,13,2020-11-25 00:28:10
55,13,2021-06-19 05:17:54
156,13,2021-01-16 12:18:04
115,13,2021-02-17 11:29:21
212,13,2020-09-12 22:50:48
121,13,2021-08-14 16:50:42
7,13,2021-05-26 21:00:42
31,13,2020-09-11 18:03:29
210,14,2021-01-15 03:33:43
48,14,2021-07-08 06:01:34
199,14,2021-08-10 02:53:54
103,15,2020-09-17 02:48:54
106,15,2021-05-01 02:45:37
9,15,2021-06-10 07:00:54
91,15,2021-02-09 13:00:47
72,15,2020-12-01 22:58:35
36,15,2021-01-23 00:00:51
204,15,2021-03-11 01:03:58
64,15,2021-04-26 16:54:15
227,15,2020-10-05 12:48:12
249,15,2020-09-20 07:06:13
14,15,2021-02-01 08:37:44
175,15,2020-11-26 01:50:22
40,16,2021-06-06 17:52:09
174,16,2020-11-23 03:14:28
205,16,2020-12-26 05:00:40
237,16,2021-01-26 17:30:16
112,16,2020-10-09 02:10:14
90,16,2020-12-12 06:05:23
170,16,2021-08-26 07:10:36
152,16,2020-12-19 01:51:44
174,17,2021-02-23 05:12:12
130,17,2020-11-22 19:12:49
152,17,2021-08-18 22:09:18
188,17,2021-01-05 07:58:19
234,17,2021-08-05 03:38:20
74,17,2021-02-26 11:20:21
